"","X","Title","Author","Genre","My_Rating","Average_Rating","Pages","Original_Publication_Year","Date_Read","Month","Day","Year","Date_Added","SeasonColours","rating_gap"
"1",1,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)","Heather Fawcett","Fantasy",4,4.07,325,2023,"12/5/2023",12,5,2023,"2023/12/05","#ca0020",-0.07
"2",2,"Hello Beautiful","Ann Napolitano","Lit-fic",4,4.2,416,2023,"11/29/2023",11,29,2023,"2023/11/29","#f4a582",-0.2
"3",3,"Interpreter of Maladies","Jhumpa Lahiri","Lit-fic",5,4.17,198,1999,"11/22/2023",11,22,2023,"2023/11/22","#f4a582",0.83
"4",4,"Black Friend: Essays","Ziwe","Non-fiction",4,4.43,192,2023,"11/7/2023",11,7,2023,"2023/10/05","#f4a582",-0.43
"5",5,"We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth","Sarah Gearhart","Non-fiction",4,3.68,239,NA,"11/1/2023",11,1,2023,"2023/11/01","#f4a582",0.32
"6",6,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Lit-fic",3,4.43,389,2017,"10/10/2023",10,10,2023,"2023/10/10","#f4a582",-1.43
"7",7,"Now Is Not the Time to Panic","Kevin    Wilson","Lit-fic",3,3.7,246,2022,"9/23/2023",9,23,2023,"2022/11/02","#f4a582",-0.7
"8",8,"Yellowface","R.F. Kuang","Lit-fic",2,3.87,329,2023,"9/23/2023",9,23,2023,"2023/06/22","#f4a582",-1.87
"9",9,"Tom Lake","Ann Patchett","Lit-fic",4,4.14,309,2023,"9/14/2023",9,14,2023,"2023/06/06","#f4a582",-0.14
"10",10,"I'm a Fan","Sheena Patel","Lit-fic",0,3.48,207,2022,"8/23/2023",8,23,2023,"2023/06/22","#0571b0",-3.48
"11",11,"Love with a Chance of Drowning","Torre DeRoche","Non-fiction",5,4.08,352,2011,"8/23/2023",8,23,2023,"2023/08/21","#0571b0",0.92
"12",12,"Open","Andre Agassi","Non-fiction",4,4.3,388,2009,"8/18/2023",8,18,2023,"2023/08/18","#0571b0",-0.3
"13",13,"American Gods","Neil Gaiman","Fantasy",5,4.11,635,2001,"8/6/2023",8,6,2023,"2023/08/06","#0571b0",0.89
"14",14,"Disappearing Earth","Julia  Phillips","Lit-fic",5,3.85,312,2019,"6/23/2023",6,23,2023,"2023/06/23","#0571b0",1.15
"15",15,"Happy Place","Emily Henry","Lit-fic",2,4.06,400,2023,"6/23/2023",6,23,2023,"2023/06/23","#0571b0",-2.06
"16",16,"Marshmallow","Victoria Hannan","Lit-fic",5,3.96,320,2022,"6/18/2023",6,18,2023,"2023/06/18","#0571b0",1.04
"17",17,"The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil","Tina  Brown","Non-fiction",3,4.04,571,2022,"6/12/2023",6,12,2023,"2023/06/12","#0571b0",-1.04
"18",18,"What I Talk About When I Talk About Running","Haruki Murakami","Non-fiction",5,3.87,188,2007,"6/11/2023",6,11,2023,"2023/06/11","#0571b0",1.13
"19",19,"Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","Non-fiction",4,4.36,319,2018,"6/6/2023",6,6,2023,"2023/06/06","#0571b0",-0.36
"20",20,"Sapiens: A Brief History of Humankind","Yuval Noah Harari","Non-fiction",4,4.37,512,2011,"6/5/2023",6,5,2023,"2023/06/05","#0571b0",-0.37
"21",21,"New Animal","Ella Baxter","Lit-fic",5,3.41,240,2021,"6/2/2023",6,2,2023,"2023/06/02","#0571b0",1.59
"22",22,"Romantic Comedy","Curtis Sittenfeld","Lit-fic",3,3.69,309,2023,"5/28/2023",5,28,2023,"2023/05/28","#92c5de",-0.69
"23",23,"Shoe Dog: A Memoir by the Creator of Nike","Phil Knight","Non-fiction",0,4.47,400,2016,"5/21/2023",5,21,2023,"2023/05/21","#92c5de",-4.47
"24",24,"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Lit-fic",4,4.2,401,2022,"5/4/2023",5,4,2023,"2023/01/24","#92c5de",-0.2
"25",25,"Infidelity and Other Affairs","Kate Legge","Non-fiction",0,3.42,204,NA,"4/22/2023",4,22,2023,"2023/04/22","#92c5de",-3.42
"26",26,"The Seven Deaths of Evelyn Hardcastle","Stuart Turton","Lit-fic",4,3.84,505,2018,"10/22/2018",10,22,2018,"2018/05/31","#f4a582",0.16
"27",27,"Birnam Wood","Eleanor Catton","Lit-fic",3,3.84,432,2023,"4/11/2023",4,11,2023,"2023/04/11","#92c5de",-0.84
"28",28,"Topics of Conversation","Miranda Popkey","Lit-fic",4,2.82,224,2020,"3/13/2023",3,13,2023,"2023/03/13","#92c5de",1.18
"29",29,"The Summer Book","Tove Jansson","Lit-fic",5,4.04,192,1972,"2/19/2023",2,19,2023,"2023/02/19","#ca0020",0.96
"30",30,"True Love","Sarah Gerard","Lit-fic",0,3.12,224,2020,"1/26/2023",1,26,2023,"2022/12/12","#ca0020",-3.12
"31",31,"Dune (Dune, #1)","Frank Herbert","Fantasy",3,4.26,658,1965,"1/4/2023",1,4,2023,"2023/01/04","#ca0020",-1.26
"32",32,"The Death of Ivan Ilych","Leo Tolstoy","Lit-fic",4,4.12,86,1886,"12/18/2022",12,18,2022,"2022/11/28","#ca0020",-0.12
"33",33,"Exiles (Aaron Falk, #3)","Jane Harper","Mystery",3,4.06,356,2022,"12/7/2022",12,7,2022,"2022/10/17","#ca0020",-1.06
"34",34,"Book Lovers","Emily Henry","Lit-fic",2,4.15,377,2022,"12/6/2022",12,6,2022,"2022/12/06","#ca0020",-2.15
"35",35,"Either/Or","Elif Batuman","Lit-fic",3,4.05,368,2022,"12/4/2022",12,4,2022,"2022/12/04","#ca0020",-1.05
"36",36,"Avalon","Nell Zink","Lit-fic",4,3.22,224,2022,"11/27/2022",11,27,2022,"2022/11/23","#f4a582",0.78
"37",37,"A Writing Life:  Helen Garner and Her Work","Bernadette Brennan","Non-fiction",4,4.28,352,NA,"11/27/2022",11,27,2022,"2022/11/27","#f4a582",-0.28
"38",38,"The English Understand Wool","Helen DeWitt","Lit-fic",4,4.2,69,2022,"11/13/2022",11,13,2022,"2022/11/05","#f4a582",-0.2
"39",39,"People We Meet on Vacation","Emily Henry","Lit-fic",5,3.89,364,2021,"11/13/2022",11,13,2022,"2022/11/13","#f4a582",1.11
"40",40,"Assembly","Natasha   Brown","Lit-fic",4,3.87,112,2021,"11/13/2022",11,13,2022,"2022/11/13","#f4a582",0.13
"41",41,"Klara and the Sun","Kazuo Ishiguro","Science fiction",4,3.75,303,2021,"11/7/2022",11,7,2022,"2021/11/27","#f4a582",0.25
"42",42,"Ghost Lover","Lisa Taddeo","Lit-fic",4,3.31,225,2022,"11/3/2022",11,3,2022,"2022/10/17","#f4a582",0.69
"43",43,"Night Train","Martin Amis","Lit-fic",3,3.25,176,1997,"10/25/2022",10,25,2022,"2022/10/23","#f4a582",-0.25
"44",44,"Lucy by the Sea (Amgash, #4)","Elizabeth Strout","Lit-fic",5,3.94,291,2022,"10/23/2022",10,23,2022,"2022/10/23","#f4a582",1.06
"45",45,"Slouching Towards Bethlehem","Joan Didion","Non-fiction",0,4.19,238,1968,"10/19/2022",10,19,2022,"2022/10/19","#f4a582",-4.19
"46",46,"Purgatory Mount","Adam Roberts","Science fiction",3,3.51,320,2021,"10/16/2022",10,16,2022,"2022/10/16","#f4a582",-0.51
"47",47,"The Grammarians","Cathleen Schine","Lit-fic",4,3.58,8,2019,"10/8/2022",10,8,2022,"2019/11/26","#f4a582",0.42
"48",48,"There's No Such Thing as an Easy Job","Kikuko Tsumura","Lit-fic",5,3.61,416,2015,"9/23/2022",9,23,2022,"2021/03/02","#f4a582",1.39
"49",49,"The Daughter of Doctor Moreau","Silvia Moreno-Garcia","Horror",3,3.59,306,2022,"9/23/2022",9,23,2022,"2022/05/28","#f4a582",-0.59
"50",50,"The Maidens","Alex Michaelides","Lit-fic",2,3.62,337,2021,"9/15/2022",9,15,2022,"2021/06/08","#f4a582",-1.62
"51",51,"A Wolverine Is Eating My Leg","Tim Cahill","Lit-fic",3,3.97,369,1989,"9/15/2022",9,15,2022,"2022/07/28","#f4a582",-0.97
"52",52,"A Prayer for the Crown-Shy (Monk & Robot, #2)","Becky  Chambers","Science fiction",3,4.43,152,2022,"9/13/2022",9,13,2022,"2022/09/13","#f4a582",-1.43
"53",53,"Mexican Gothic","Silvia Moreno-Garcia","Horror",4,3.68,320,2020,"8/29/2022",8,29,2022,"2021/01/12","#0571b0",0.32
"54",54,"Ghosts","Dolly Alderton","Lit-fic",5,3.9,352,2020,"8/17/2022",8,17,2022,"2022/07/07","#0571b0",1.1
"55",55,"Everything I Know About Love","Dolly Alderton","Non-fiction",4,4.05,368,2018,"7/12/2022",7,12,2022,"2022/07/07","#0571b0",-0.05
"56",56,"Stasiland: Stories from Behind the Berlin Wall","Anna Funder","Non-fiction",5,4.19,328,2003,"6/27/2022",6,27,2022,"2019/05/26","#0571b0",0.81
"57",57,"Crudo","Olivia Laing","Lit-fic",0,3.2,160,2018,"6/18/2022",6,18,2022,"2022/06/18","#0571b0",-3.2
"58",58,"Honeybee","Craig Silvey","Lit-fic",4,4.4,421,2020,"6/13/2022",6,13,2022,"2021/06/21","#0571b0",-0.4
"59",59,"Crying in H Mart","Michelle Zauner","Lit-fic",5,4.27,256,2021,"6/9/2022",6,9,2022,"2022/04/26","#0571b0",0.73
"60",60,"Happy Hour","Marlowe Granados","Lit-fic",4,3.53,280,2020,"6/1/2022",6,1,2022,"2022/06/01","#0571b0",0.47
"61",61,"The Heavens","Sandra Newman","Lit-fic",3,3.26,272,2019,"10/27/2019",10,27,2019,"2019/08/11","#f4a582",-0.26
"62",62,"The Murder Rule","Dervla McTiernan","Mystery",4,3.67,295,2022,"5/16/2022",5,16,2022,"2022/04/27","#92c5de",0.33
"63",63,"The Younger Wife","Sally Hepworth","Lit-fic",0,3.81,346,2021,"5/15/2022",5,15,2022,"2022/05/15","#92c5de",-3.81
"64",64,"Sea of Tranquility","Emily St. John Mandel","Science fiction",4,4.09,259,2022,"5/9/2022",5,9,2022,"2022/01/06","#92c5de",-0.09
"65",65,"The Trivia Night","Ali Lowe","Mystery",2,3.64,368,2022,"5/4/2022",5,4,2022,"2022/05/04","#92c5de",-1.64
"66",66,"Little Women","Louisa May Alcott","Lit-fic",0,4.15,449,1868,"4/27/2022",4,27,2022,"2022/04/27","#92c5de",-4.15
"67",67,"You Be Mother","Meg Mason","Lit-fic",0,4.11,448,2017,"4/6/2022",4,6,2022,"2022/04/06","#92c5de",-4.11
"68",68,"The Paper Palace","Miranda Cowley Heller","Lit-fic",5,3.82,400,2021,"4/1/2022",4,1,2022,"2022/04/01","#92c5de",1.18
"69",69,"How to End a Story: Diaries: 1995–1998","Helen Garner","Non-fiction",5,4.57,304,NA,"3/23/2022",3,23,2022,"2022/01/10","#92c5de",0.43
"70",70,"The Plot","Jean Hanff Korelitz","Lit-fic",4,3.83,320,2021,"3/20/2022",3,20,2022,"2021/07/06","#92c5de",0.17
"71",71,"The Paris Apartment","Lucy Foley","Mystery",4,3.67,360,2022,"3/18/2022",3,18,2022,"2022/01/06","#92c5de",0.33
"72",72,"The Galaxy, and the Ground Within (Wayfarers, #4)","Becky  Chambers","Science fiction",4,4.41,336,2021,"3/15/2022",3,15,2022,"2022/03/15","#92c5de",-0.41
"73",73,"The Wise Man's Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss","Fantasy",4,4.55,994,2011,"3/15/2022",3,15,2022,"2022/03/04","#92c5de",-0.55
"74",74,"The Name of the Wind (The Kingkiller Chronicle, #1)","Patrick Rothfuss","Fantasy",4,4.52,662,2007,"3/4/2022",3,4,2022,"2022/03/04","#92c5de",-0.52
"75",75,"Five Tuesdays in Winter","Lily King","Lit-fic",4,3.74,240,2021,"2/3/2022",2,3,2022,"2022/01/15","#ca0020",0.26
"76",76,"The Museum of Modern Love","Heather     Rose","Lit-fic",4,3.92,296,2018,"1/24/2022",1,24,2022,"2022/01/24","#ca0020",0.08
"77",77,"To Be Taught, If Fortunate","Becky  Chambers","Science fiction",4,4.2,153,2019,"1/15/2022",1,15,2022,"2022/01/15","#ca0020",-0.2
"78",78,"One Day I'll Remember This: Diaries 1987–1995","Helen Garner","Non-fiction",5,4.35,305,NA,"1/12/2022",1,12,2022,"2022/01/10","#ca0020",0.65
"79",79,"All's Well","Mona Awad","Horror",2,3.73,352,2021,"1/2/2022",1,2,2022,"2021/11/27","#ca0020",-1.73
"80",80,"Love & Virtue","Diana Reid","Lit-fic",3,3.93,0,NA,"12/28/2021",12,28,2021,"2021/11/29","#ca0020",-0.93
"81",81,"A Neon Darkness (The Bright Sessions, #2)","Lauren Shippen","Science fiction",3,3.76,256,2020,"12/24/2021",12,24,2021,"2021/12/24","#ca0020",-0.76
"82",82,"You Had Me at Pet-Nat: A Natural Wine-Soaked Memoir","Rachel Signer","Non-fiction",4,3.72,288,NA,"12/23/2021",12,23,2021,"2021/12/23","#ca0020",0.28
"83",83,"Oh William! (Amgash, #3)","Elizabeth Strout","Lit-fic",4,3.87,240,2021,"12/13/2021",12,13,2021,"2021/11/27","#ca0020",0.13
"84",84,"Gingerbread","Helen Oyeyemi","Lit-fic",4,3.05,372,2019,"12/7/2021",12,7,2021,"2021/12/07","#ca0020",0.95
"85",85,"Yellow Notebook: Diaries Volume I 1978–1986","Helen Garner","Non-fiction",4,4.15,1,2019,"11/25/2021",11,25,2021,"2021/11/25","#f4a582",-0.15
"86",86,"Elder Race","Adrian Tchaikovsky","Fantasy",4,4.13,201,2021,"11/25/2021",11,25,2021,"2021/11/25","#f4a582",-0.13
"87",87,"Animal","Lisa Taddeo","Lit-fic",4,3.72,336,2021,"11/24/2021",11,24,2021,"2021/05/07","#f4a582",0.28
"88",88,"Taste: My Life through Food","Stanley Tucci","Non-fiction",3,4.21,291,2021,"11/24/2021",11,24,2021,"2021/11/24","#f4a582",-1.21
"89",89,"Hold Your Fire","Chloe Wilson","Lit-fic",3,3.79,240,2021,"11/20/2021",11,20,2021,"2021/02/23","#f4a582",-0.79
"90",90,"Euphoria","Lily King","Lit-fic",3,3.86,256,2014,"10/19/2021",10,19,2021,"2021/10/19","#f4a582",-0.86
"91",91,"The Great Offshore Grounds","Vanessa Veselka","Lit-fic",4,3.6,448,2020,"10/11/2021",10,11,2021,"2020/08/11","#f4a582",0.4
"92",92,"Malibu Rising","Taylor Jenkins Reid","Lit-fic",4,4.05,369,2021,"9/18/2021",9,18,2021,"2021/09/18","#f4a582",-0.05
"93",93,"Beautiful World, Where Are You","Sally Rooney","Lit-fic",3,3.54,356,2021,"9/18/2021",9,18,2021,"2021/09/18","#f4a582",-0.54
"94",94,"The Searcher","Tana French","Mystery",4,3.79,451,2020,"9/7/2021",9,7,2021,"2021/09/07","#f4a582",0.21
"95",95,"The Other Black Girl","Zakiya Dalila Harris","Lit-fic",0,3.37,357,2021,"9/2/2021",9,2,2021,"2021/09/02","#f4a582",-3.37
"96",96,"Secrets of Happiness","Joan Silber","Lit-fic",4,3.49,288,2021,"9/2/2021",9,2,2021,"2021/08/01","#f4a582",0.51
"97",97,"Spinning Silver","Naomi Novik","Fantasy",3,4.2,465,2018,"8/24/2021",8,24,2021,"2019/08/11","#0571b0",-1.2
"98",98,"Happy All the Time","Laurie Colwin","Lit-fic",3,3.86,224,1978,"8/8/2021",8,8,2021,"2021/08/08","#0571b0",-0.86
"99",99,"Eleanor Oliphant Is Completely Fine","Gail Honeyman","Lit-fic",4,4.24,336,2017,"8/4/2021",8,4,2021,"2021/08/04","#0571b0",-0.24
"100",100,"Golden Son (Red Rising Saga, #2)","Pierce Brown","Fantasy",3,4.46,466,2015,"7/31/2021",7,31,2021,"2021/07/31","#0571b0",-1.46
"101",101,"Red Rising (Red Rising Saga, #1)","Pierce Brown","Fantasy",4,4.26,382,2014,"7/24/2021",7,24,2021,"2021/06/30","#0571b0",-0.26
"102",102,"A Psalm for the Wild-Built (Monk & Robot, #1)","Becky  Chambers","Science fiction",3,4.29,160,2021,"7/20/2021",7,20,2021,"2021/07/20","#0571b0",-1.29
"103",103,"No One Is Talking About This","Patricia Lockwood","Lit-fic",4,3.56,210,2021,"7/18/2021",7,18,2021,"2021/06/30","#0571b0",0.44
"104",104,"Chemistry","Weike Wang","Lit-fic",4,3.74,224,2017,"7/16/2021",7,16,2021,"2021/07/11","#0571b0",0.26
"105",105,"The Penguin Book of Japanese Short Stories","Jay Rubin","Lit-fic",4,4.13,566,2018,"7/10/2021",7,10,2021,"2021/07/10","#0571b0",-0.13
"106",106,"The Interestings","Meg Wolitzer","Lit-fic",4,3.59,468,2013,"7/1/2021",7,1,2021,"2021/07/01","#0571b0",0.41
"107",107,"The Good Turn (Cormac Reilly, #3)","Dervla McTiernan","Mystery",5,4.23,400,2020,"6/20/2021",6,20,2021,"2021/06/20","#0571b0",0.77
"108",108,"The Vacationers","Emma Straub","Lit-fic",2,3.16,292,2014,"6/17/2021",6,17,2021,"2021/06/17","#0571b0",-1.16
"109",109,"The Scholar (Cormac Reilly, #2)","Dervla McTiernan","Mystery",5,4.04,377,2019,"6/10/2021",6,10,2021,"2021/06/10","#0571b0",0.96
"110",110,"The Driver's Seat","Muriel Spark","Lit-fic",3,3.62,103,1970,"6/9/2021",6,9,2021,"2021/06/09","#0571b0",-0.62
"111",111,"The Truth About Her","Jacqueline Maley","Lit-fic",0,3.79,368,2021,"6/2/2021",6,2,2021,"2021/06/02","#0571b0",-3.79
"112",112,"Wolf Hall (Thomas Cromwell, #1)","Hilary Mantel","Fantasy",4,3.9,653,2009,"6/1/2021",6,1,2021,"2021/06/01","#0571b0",0.1
"113",113,"The Last Exodus (The Earthborn Trilogy, #1)","Paul Tassi","Science fiction",4,3.9,318,2012,"5/14/2021",5,14,2021,"2021/01/02","#92c5de",0.1
"114",114,"The Ruin (Cormac Reilly, #1)","Dervla McTiernan","Mystery",5,3.95,380,2018,"5/6/2021",5,6,2021,"2018/09/21","#92c5de",1.05
"115",115,"Beach Read","Emily Henry","Lit-fic",4,4.02,400,2020,"5/1/2021",5,1,2021,"2021/05/01","#92c5de",-0.02
"116",116,"The Other's Gold","Elizabeth  Ames","Lit-fic",3,3.2,335,2019,"4/29/2021",4,29,2021,"2020/06/24","#92c5de",-0.2
"117",117,"Year of the Monkey","Patti Smith","Non-fiction",4,3.81,171,2019,"4/24/2021",4,24,2021,"2019/07/15","#92c5de",0.19
"118",118,"Claire DeWitt and the City of the Dead (Claire DeWitt Mysteries, #1)","Sara Gran","Mystery",4,3.69,273,2011,"4/23/2021",4,23,2021,"2020/08/07","#92c5de",0.31
"119",119,"Kokomo","Victoria Hannan","Lit-fic",4,3.57,235,2020,"4/13/2021",4,13,2021,"2021/04/13","#92c5de",0.43
"120",120,"Record of a Spaceborn Few (Wayfarers, #3)","Becky  Chambers","Science fiction",4,4.11,359,2018,"4/4/2021",4,4,2021,"2021/04/04","#92c5de",-0.11
"121",121,"The Witch Elm","Tana French","Mystery",3,3.57,528,2018,"4/2/2021",4,2,2021,"2021/04/02","#92c5de",-0.57
"122",122,"Friends & Dark Shapes","Kavita Bedford","Lit-fic",0,3.79,288,2021,"3/13/2021",3,13,2021,"2021/02/23","#92c5de",-3.79
"123",123,"Piranesi","Susanna Clarke","Fantasy",4,4.23,272,2020,"3/7/2021",3,7,2021,"2021/01/12","#92c5de",-0.23
"124",124,"The Survivors","Jane Harper","Mystery",5,3.76,384,2020,"2/23/2021",2,23,2021,"2021/02/23","#ca0020",1.24
"125",125,"Sorrow and Bliss","Meg Mason","Lit-fic",5,4.11,352,2020,"2/18/2021",2,18,2021,"2021/02/18","#ca0020",0.89
"126",126,"A Closed and Common Orbit (Wayfarers, #2)","Becky  Chambers","Science fiction",5,4.37,365,2016,"2/16/2021",2,16,2021,"2018/07/22","#ca0020",0.63
"127",127,"Luster","Raven Leilani","Lit-fic",5,3.53,227,2020,"2/3/2021",2,3,2021,"2021/01/12","#ca0020",1.47
"128",128,"Cherry Beach","Laura McPhee-Browne","Lit-fic",4,3.86,240,2020,"1/28/2021",1,28,2021,"2021/01/28","#ca0020",0.14
"129",129,"The Inland Sea","Madeleine Watts","Lit-fic",4,3.53,272,2021,"1/26/2021",1,26,2021,"2021/01/26","#ca0020",0.47
"130",130,"Children of Time (Children of Time, #1)","Adrian Tchaikovsky","Science fiction",4,4.3,608,2015,"1/21/2021",1,21,2021,"2021/01/21","#ca0020",-0.3
"131",131,"Girl, Woman, Other","Bernardine Evaristo","Lit-fic",4,4.3,453,2019,"1/11/2021",1,11,2021,"2019/11/14","#ca0020",-0.3
